"year","weights","gender","educ","urban","income_int_dol","income_quint","WORRIED","HEALTHY","FEWFOOD","SKIPPED","ATELESS","RUNOUT","HUNGRY","WHLDAY","HH_size","employment","hours_work","WP23","WP60","WP68","WP69","WP70","WP16","WP18","WP61","WP63","WP65","WP67"
2017,1.34204665961148,1,2,1,1289.72495087314,2,0,0,0,0,0,0,0,0,5,1,5,2,1,2,2,2,8,11,1,1,2,1
2017,1.00822610624045,2,1,1,1433.02772319238,2,0,0,0,0,0,0,0,0,3,NA,NA,2,2,1,2,2,9,12,1,2,2,1
2017,1.8752615015759,1,3,1,1253.89925779333,2,0,0,0,0,0,0,0,0,6,2,NA,2,1,2,2,2,8,12,1,1,2,2
2017,1.08171735925727,1,1,2,2686.92698098571,4,0,0,0,0,0,0,0,0,2,1,5,2,1,2,2,2,6,12,1,1,2,1
2017,2.16343444737728,1,1,2,644.862475436571,1,1,0,0,0,0,0,0,0,8,1,5,2,1,1,2,2,5,6,1,1,1,1
2017,0.815722511437543,1,1,2,1612.15618859143,3,1,1,1,1,1,1,1,1,2,NA,NA,1,2,2,1,2,5,12,1,2,2,2
2017,1.8752615015759,1,3,2,3045.18391178381,4,0,0,0,0,0,0,0,0,6,NA,NA,2,1,2,2,2,8,9,1,1,1,1
2017,1.8516679519451,2,1,2,168.380757475105,1,0,0,1,0,0,0,0,0,6,NA,NA,2,1,2,2,2,3,6,1,1,2,1
2017,1.00822610624045,2,1,2,698.601015056286,1,0,0,1,0,0,0,0,0,4,NA,NA,2,1,2,2,2,11,10,1,1,2,1
2017,0.504113053120224,2,1,2,3654.22069414057,5,1,1,1,1,1,1,1,1,1,2,NA,2,1,2,2,1,6,11,1,1,2,1
2017,1.6225760388859,1,1,2,5158.89980349257,5,1,1,1,0,0,0,0,0,3,1,2,1,1,2,2,2,3,4,1,2,2,1
2017,0.702580410015022,2,1,2,60.9036782356762,1,1,1,1,1,1,1,1,0,6,NA,NA,2,1,1,1,1,4,11,1,2,2,2
2017,0.815722511437543,1,1,2,2149.54158478857,3,1,1,1,0,1,0,0,0,2,1,2,1,1,1,1,1,11,11,1,1,2,1
2017,0.702580410015022,2,1,1,1289.72495087314,2,1,1,1,1,1,1,1,1,2,NA,NA,1,1,1,1,2,6,11,1,1,1,1
2017,1.26504588083471,1,2,1,1970.41311938952,3,1,1,1,0,1,1,1,0,6,1,1,2,2,1,1,2,4,5,1,2,2,2
2017,0.504113053120224,2,1,1,2149.54158478857,3,1,1,1,1,1,1,1,1,2,2,NA,1,1,2,1,1,6,5,1,2,2,2
2017,1.0596310609969,2,1,1,1074.77079239429,2,0,0,0,0,0,0,0,0,5,1,1,2,1,1,2,2,6,6,2,1,2,1
2017,0.702580410015022,2,1,1,2042.06450554914,3,1,1,1,1,1,1,1,0,2,NA,NA,2,2,1,1,1,1,1,2,2,2,2
2017,1.05387061502253,2,1,1,1898.7617332299,3,0,1,1,1,1,1,0,0,3,1,5,2,1,1,1,2,11,11,1,1,1,1
2017,0.770197971672577,2,2,1,2686.92698098571,4,0,0,0,0,0,0,0,0,4,NA,NA,2,1,2,2,2,9,9,1,1,1,2
2017,0.287161980016185,2,2,1,429.908316957714,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,6,11,2,1,2,3
2017,1.11845689348031,2,3,1,1074.77079239429,2,0,0,1,0,0,0,0,0,5,1,5,2,2,2,2,2,6,8,3,1,2,1
2017,0.653749117756979,2,2,1,2149.54158478857,3,1,1,1,0,0,0,0,0,3,1,4,1,1,1,1,2,6,11,1,1,2,1
2017,0.653386173254065,1,3,3,9243.02881459085,5,0,0,0,0,0,0,0,0,2,NA,NA,2,2,2,3,1,7,8,1,1,1,1
2017,0.913493240670024,2,3,3,4299.08316957714,5,1,1,1,1,1,1,1,0,3,NA,NA,2,2,1,1,2,8,9,1,1,2,2
2017,1.44441097993056,1,2,3,2149.54158478857,3,1,1,1,0,1,0,0,0,4,1,5,2,1,2,2,2,5,12,1,1,1,1
2017,0.435832745171319,2,2,3,5158.89980349257,5,0,0,0,0,0,0,0,0,2,NA,NA,1,1,1,1,2,7,11,1,1,2,1
2017,1.02693062889677,2,2,3,2149.54158478857,3,0,0,0,0,0,0,0,0,5,2,NA,2,2,1,2,2,8,11,1,1,2,1
2017,0.312717196047901,2,2,3,5588.80812045028,5,0,0,0,0,0,0,0,0,2,NA,NA,2,1,2,2,2,6,9,1,1,1,1
2017,1.40516082003004,2,1,3,4299.08316957714,5,0,0,0,0,0,0,0,0,5,NA,NA,1,1,1,1,2,6,11,1,1,2,1
2017,2.16343444737728,1,2,3,1719.63326783086,3,0,0,0,0,0,0,0,0,5,NA,NA,2,1,2,2,2,8,9,1,1,1,1
2017,1.02693062889677,2,2,3,2257.018664028,4,0,0,0,0,0,0,0,0,4,2,NA,2,1,2,2,2,7,10,1,1,1,1
2017,0.702580410015022,2,1,3,6771.055992084,5,0,0,0,0,0,0,0,0,2,NA,NA,1,1,1,1,2,6,11,1,2,2,1
2017,0.999938815847874,2,3,2,21.4954158478857,1,0,0,0,0,0,0,0,0,4,NA,NA,2,1,2,2,2,6,6,1,1,2,1
2017,0.702580410015022,2,1,2,537.385396197143,1,1,1,1,1,1,1,1,1,2,2,NA,1,1,1,1,2,6,11,1,1,2,2
2017,0.671023329805742,1,2,2,64.4862475436571,1,1,1,1,0,1,1,1,0,2,NA,NA,2,2,2,1,1,6,8,2,1,2,1
2017,0.770197971672577,2,2,2,360.048215452086,1,0,0,0,0,0,0,0,0,4,NA,NA,2,2,2,2,2,6,8,1,1,1,1
2017,1.51233915936067,2,1,2,7165.1386159619,5,1,0,1,0,0,0,0,0,3,NA,NA,2,1,2,2,2,9,7,1,1,2,1
2017,0.671023329805742,1,2,2,1612.15618859143,3,1,1,1,0,0,0,0,0,2,1,3,2,2,1,2,2,5,5,1,1,2,2
2017,2.16343444737728,1,1,2,1612.15618859143,3,0,0,0,0,0,0,0,0,4,NA,NA,2,1,2,2,2,7,8,1,1,1,2
2017,0.264907765249226,2,1,2,2149.54158478857,3,0,0,0,0,0,0,0,0,1,NA,NA,2,2,3,1,1,12,12,1,2,2,1
2017,1.18582372088221,1,2,2,3582.56930798095,5,0,0,0,0,0,0,0,0,3,NA,NA,2,1,2,2,2,9,11,2,1,1,1
2017,2.06931830587806,2,1,2,2866.05544638476,4,0,0,0,0,0,0,0,0,6,NA,NA,2,1,2,2,2,9,10,1,1,1,1
2017,0.504113053120224,2,1,2,143.302772319238,1,1,1,1,1,1,1,1,0,3,1,1,2,2,1,1,1,9,6,1,2,1,2
2017,0.657322503730504,2,2,2,921.23210776653,2,1,0,1,0,0,0,0,0,7,NA,NA,1,1,1,2,2,6,6,1,1,2,1
2017,0.702580410015022,2,1,2,3224.31237718286,4,1,1,1,1,1,1,1,0,2,1,4,1,1,1,1,2,12,12,1,1,2,2
2017,2.16343444737728,2,1,2,671.731745246428,1,0,0,0,0,0,0,0,0,8,1,2,1,2,1,1,2,9,11,1,1,2,1
2017,1.58109829450961,1,2,2,2149.54158478857,3,0,0,0,0,0,0,0,0,4,1,2,2,1,2,2,2,6,9,1,1,1,1
2017,1.2508687841916,2,2,2,1433.02772319238,2,0,1,1,0,0,0,0,0,6,NA,NA,1,2,1,1,1,4,9,1,2,2,2
2017,0.938151588143701,2,2,2,1612.15618859143,3,0,0,0,0,0,0,0,0,4,NA,NA,2,1,2,2,1,7,9,1,1,1,1
2017,0.506018352333885,1,2,2,2418.23428288714,4,0,0,0,0,0,0,0,0,2,NA,NA,1,1,2,2,2,6,4,1,1,2,1
